Wk;Day;Date;Time;Home;xG;Score;xG;Away;Venue
1;Fri;11/08/2023;21:00;Nice;1.2;1–1;1.3;Lille;Stade de Nice
1;Sat;12/08/2023;17:00;Marseille;1.0;2–1;0.8;Reims;Orange Vélodrome
1;Sat;12/08/2023;21:00;Paris S-G;1.2;0–0;0.1;Lorient;Parc des Princes
1;Sun;13/08/2023;13:00;Brest;2.5;3–2;0.7;Lens;Stade Francis-Le Blé
1;Sun;13/08/2023;15:00;Montpellier;1.6;2–2;1.0;Le Havre;Stade de la Mosson
1;Sun;13/08/2023;15:00;Clermont Foot;1.8;2–4;2.5;Monaco;Stade Gabriel Montpied
1;Sun;13/08/2023;15:00;Nantes;1.1;1–2;1.1;Toulouse;Stade de la Beaujoire - Louis Fonteneau
1;Sun;13/08/2023;17:05;Rennes;4.0;5–1;0.4;Metz;Roazhon Park
1;Sun;13/08/2023;20:45;Strasbourg;1.3;2–1;1.7;Lyon;Stade de la Meinau
2;Fri;18/08/2023;21:00;Metz;0.5;2–2;1.9;Marseille;Stade Saint-Symphorien
2;Sat;19/08/2023;19:00;Lyon;0.4;1–4;2.9;Montpellier;Groupama Stadium
2;Sat;19/08/2023;21:00;Toulouse;1.2;1–1;2.1;Paris S-G;Stadium Municipal
2;Sun;20/08/2023;13:00;Lille;2.2;2–0;1.1;Nantes;Decathlon Arena - Stade Pierre-Mauroy
2;Sun;20/08/2023;15:00;Reims;2.4;2–0;0.4;Clermont Foot;Stade Auguste-Delaune
2;Sun;20/08/2023;15:00;Le Havre;1.2;1–2;1.1;Brest;Stade Océane
2;Sun;20/08/2023;15:00;Lorient;0.8;1–1;1.7;Nice;Stade du Moustoir
2;Sun;20/08/2023;19:00;Monaco;0.9;3–0;0.5;Strasbourg;Stade Louis II
2;Sun;20/08/2023;20:45;Lens;1.0;1–1;1.4;Rennes;Stade Bollaert-Delelis
3;Fri;25/08/2023;21:00;Nantes;1.0;3–3;3.3;Monaco;Stade de la Beaujoire - Louis Fonteneau
3;Sat;26/08/2023;19:00;Marseille;2.9;2–0;1.5;Brest;Orange Vélodrome
3;Sat;26/08/2023;21:00;Paris S-G;1.5;3–1;0.5;Lens;Parc des Princes
3;Sun;27/08/2023;13:00;Rennes;3.2;2–2;0.4;Le Havre;Roazhon Park
3;Sun;27/08/2023;15:00;Montpellier;0.9;1–3;1.4;Reims;Stade de la Mosson
3;Sun;27/08/2023;15:00;Clermont Foot;0.7;0–1;1.1;Metz;Stade Gabriel Montpied
3;Sun;27/08/2023;15:00;Strasbourg;3.4;2–0;0.3;Toulouse;Stade de la Meinau
3;Sun;27/08/2023;17:05;Lorient;1.6;4–1;1.1;Lille;Stade du Moustoir
3;Sun;27/08/2023;20:45;Nice;1.9;0–0;0.2;Lyon;Stade de Nice
4;Fri;01/09/2023;21:00;Nantes;0.9;1–1;2.6;Marseille;Stade de la Beaujoire - Louis Fonteneau
4;Sat;02/09/2023;17:00;Brest;1.4;0–0;0.3;Rennes;Stade Francis-Le Blé
4;Sat;02/09/2023;21:00;Monaco;0.9;3–0;0.6;Lens;Stade Louis II
4;Sun;03/09/2023;13:00;Toulouse;0.6;2–2;1.8;Clermont Foot;Stadium Municipal
4;Sun;03/09/2023;15:00;Le Havre;2.0;3–0;0.7;Lorient;Stade Océane
4;Sun;03/09/2023;15:00;Metz;1.1;2–2;0.7;Reims;Stade Saint-Symphorien
4;Sun;03/09/2023;15:00;Lille;1.2;1–0;0.3;Montpellier;Decathlon Arena - Stade Pierre-Mauroy
4;Sun;03/09/2023;17:05;Nice;2.2;2–0;0.2;Strasbourg;Stade de Nice
4;Sun;03/09/2023;20:45;Lyon;2.1;1–4;4.5;Paris S-G;Groupama Stadium
5;Fri;15/09/2023;21:00;Paris S-G;1.0;2–3;1.3;Nice;Parc des Princes
5;Sat;16/09/2023;17:00;Rennes;0.5;2–2;1.0;Lille;Roazhon Park
5;Sat;16/09/2023;21:00;Lens;2.0;0–1;0.3;Metz;Stade Bollaert-Delelis
5;Sun;17/09/2023;13:00;Lorient;0.9;2–2;1.7;Monaco;Stade du Moustoir
5;Sun;17/09/2023;15:00;Strasbourg;2.3;2–2;1.1;Montpellier;Stade de la Meinau
